client_id,nom,age,sexe,ville,salaire,date_inscription
1," Ali ",25,M,"Casablanca",5000,"2026-01-10"
2,"Sara",31,F,"Rabat",6500,"2026-01-15"
3,"Yassine",28,M,"Marrakech","4500 DH","2026-02-01"
4,"Salma",35,F,"casablanca",8000,"2026-02-05"
5,"Omar",,M,"Rabat",9000,"2026-02-10"
6,"Nadia",29,F," Tanger ",5200,"2026-02-15"
7,"Mehdi",38,M,"CASABLANCA",7500,"2026-03-01"
8,"Hajar","N/A",F,"Marrakech",4800,"2026-03-05"
9,"Adam",45,M,"Rabat",-1000,"2026-03-10"
10,"Souad",33,F,"Tanger",6200,"2026-03-15"
10,"Souad",33,F,"Tanger",6200,"2026-03-15"
